28												
Name	Surname	Alias	MathsI	MathsII	PhysicsI	PhysicsII	Chemistry	Econometrics	English_Lit	Ancient_Greek	PhysEd	TOK
Zachary	Rottman	zr13	59	83	71	39	58	33	42	41	82	71
Dustin	Heavner	dh11	53	53	65	62	67	38	55	83	82	63
Dustin	Prewett	dp12	51	70	39	31	56	51	68	26	55	82
Dan	Soderberg	ds11	47	52	66	64	46	55	42	48	100	71
Carolina	Truelove	ct12	55	79	72	57	42	76	58	59	62	76
Greg	Celaya	gc11	24	40	59	50	45	50	73	37	52	54
Lewis	Murch	lm13	58	39	46	67	57	49	34	47	94	66
Ricardo	Sangster	rs10	64	61	84	57	56	44	84	44	69	76
Dan	Stansbury	ds12	33	41	60	48	57	70	74	27	79	84
Clyde	Guebert	cg11	67	72	72	48	61	45	59	75	100	82
Paige	Bunce	pb13	66	48	76	42	56	42	83	42	94	77
Lewis	Mcloughlin	lm12	62	51	74	50	50	38	39	37	41	64
Elisabeth	Woodham	ew11	43	86	76	50	60	49	56	42	86	79
Jillian	Hougland	jh12	46	33	46	71	63	24	64	69	64	67
Lester	Mcspadden	lm12	37	30	54	49	55	46	53	72	63	53
Greg	Kriebel	gk11	61	49	36	55	37	36	69	70	56	56
Dean	Lareau	dl11	50	26	71	61	41	46	34	33	81	64
Shane	Sagers	ss10	68	63	47	52	58	36	48	46	99	67
Ola	Nyquist	on11	54	94	68	52	64	31	66	55	58	91
Wesley	Stenson	ws13	53	76	43	48	64	41	77	20	31	89
Goldie	Riordan	gr11	63	55	29	55	52	59	53	61	79	62
Dustin	Hickmon	dh12	62	50	41	73	36	47	60	54	47	69
Jolene	Southers	js11	62	47	83	47	69	42	30	47	59	70
Vernon	Amell	va11	66	50	49	48	73	41	43	52	98	75
Ursula	Soden	us10	47	78	50	57	44	65	39	63	100	44
Keri	Dimond	kd12	49	54	20	51	61	58	56	52	66	64
Zachary	Byington	zb13	47	73	32	76	62	38	47	31	83	66
Susanne	Mersch	sm13	47	82	35	30	63	56	45	94	67	91
